session_id,trial_id,t_perf_ns,t_wall_ns,command,x_mm,y_mm,z_mm,feed_mm_min,mode,phase,dry_run,response
S20260919_A,000133,1240473306266200,1789835449491680000,M107,,,,,manual,fan_off,False,RX: [M107] | ok
S20260919_A,000133,1240473378644700,1789835449564242200,G90,,,,,z_path,experiment_absolute_mode,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240473407881900,1789835449593145300,G90,,,,,z_path,safe_z_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240473418815500,1789835449604109000,G1 Z16.8000 F600.0,,,16.8,600.0,z_path,safe_z,False,RX: [G1 Z16.8000 F600.0] | ok
S20260919_A,000133,1240473619714500,1789835449805435600,HOST_WAIT,,,,,host_wait,safe_z_host_wait,False,EST=0.000s WAIT=0.200s
S20260919_A,000133,1240473627935300,1789835449813408700,G90,,,,,z_path,center_xy_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240473642516500,1789835449827357900,G1 X149.0000 Y147.0000 F120.0,149.0,147.0,,120.0,z_path,center_xy,False,RX: [G1 X149.0000 Y147.0000 F120.0] | ok
S20260919_A,000133,1240473842958500,1789835450028684600,HOST_WAIT,,,,,host_wait,center_xy_host_wait,False,EST=0.000s WAIT=0.200s
S20260919_A,000133,1240473851075800,1789835450036741800,G90,,,,,z_path,path_approach_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240473861768800,1789835450046684600,G1 Z14.8000 F600.0,,,14.8,600.0,z_path,path_approach,False,RX: [G1 Z14.8000 F600.0] | ok
S20260919_A,000133,1240474269060400,1789835450454781500,HOST_WAIT,,,,,host_wait,path_approach_host_wait,False,EST=0.200s WAIT=0.400s
S20260919_A,000133,1240474764198900,1789835450949910700,HOST_DWELL,,,,,z_path,path_pre_action_b0_hold,False,0.500s
S20260919_A,000133,1240474777263300,1789835450962945500,G90,,,,,z_path,path_contact_zero_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240474788367200,1789835450973828400,G1 Z13.8000 F48.0,,,13.8,48.0,z_path,path_contact_zero,False,RX: [G1 Z13.8000 F48.0] | ok
S20260919_A,000133,1240476378626900,1789835452564344900,HOST_WAIT,,,,,host_wait,path_contact_zero_host_wait,False,EST=1.250s WAIT=1.587s
S20260919_A,000133,1240476431698900,1789835452617169800,G90,,,,,z_path,path_0_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240476469294400,1789835452655037300,G1 Z13.7000 F600.0,,,13.700000000000001,600.0,z_path,path_0,False,RX: [G1 Z13.7000 F600.0] | ok
S20260919_A,000133,1240476685586500,1789835452871314000,HOST_WAIT,,,,,host_wait,path_0_host_wait,False,EST=0.010s WAIT=0.210s
