session_id,trial_id,t_perf_ns,t_wall_ns,command,x_mm,y_mm,z_mm,feed_mm_min,mode,phase,dry_run,response
S20260919_A,000133,1240477183083300,1789835453368723600,HOST_DWELL,,,,,z_path,path_hold_0,False,0.500s
S20260919_A,000133,1240477191646400,1789835453376641800,G90,,,,,z_path,path_1_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240477209307900,1789835453394581200,G1 Z13.6000 F600.0,,,13.600000000000001,600.0,z_path,path_1,False,RX: [G1 Z13.6000 F600.0] | ok
S20260919_A,000133,1240477418220200,1789835453603949700,HOST_WAIT,,,,,host_wait,path_1_host_wait,False,EST=0.010s WAIT=0.210s
S20260919_A,000133,1240477916970100,1789835454102648100,HOST_DWELL,,,,,z_path,path_hold_1,False,0.500s
S20260919_A,000133,1240477928100000,1789835454113604700,G90,,,,,z_path,path_2_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240477972775700,1789835454158406800,G1 Z13.5000 F600.0,,,13.5,600.0,z_path,path_2,False,RX: [G1 Z13.5000 F600.0] | ok
S20260919_A,000133,1240478189078900,1789835454374746000,HOST_WAIT,,,,,host_wait,path_2_host_wait,False,EST=0.010s WAIT=0.210s
S20260919_A,000133,1240478685259300,1789835454870982000,HOST_DWELL,,,,,z_path,path_hold_2,False,0.500s
S20260919_A,000133,1240478693545200,1789835454878882200,G90,,,,,z_path,path_3_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240478703805600,1789835454888850000,G1 Z13.3000 F600.0,,,13.3,600.0,z_path,path_3,False,RX: [G1 Z13.3000 F600.0] | ok
S20260919_A,000133,1240478931537700,1789835455117155800,HOST_WAIT,,,,,host_wait,path_3_host_wait,False,EST=0.020s WAIT=0.220s
S20260919_A,000133,1240479432821000,1789835455618501200,HOST_DWELL,,,,,z_path,path_hold_3,False,0.500s
S20260919_A,000133,1240479440842100,1789835455626441900,G90,,,,,z_path,path_4_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240479487074000,1789835455672242000,G1 Z13.0000 F600.0,,,13.0,600.0,z_path,path_4,False,RX: [G1 Z13.0000 F600.0] | ok
S20260919_A,000133,1240479715391700,1789835455901117300,HOST_WAIT,,,,,host_wait,path_4_host_wait,False,EST=0.030s WAIT=0.230s
S20260919_A,000133,1240480215858200,1789835456401510900,HOST_DWELL,,,,,z_path,path_hold_4,False,0.500s
S20260919_A,000133,1240480236574900,1789835456421447700,G90,,,,,z_path,path_5_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240480251211100,1789835456436397900,G1 Z12.8000 F600.0,,,12.8,600.0,z_path,path_5,False,RX: [G1 Z12.8000 F600.0] | ok
S20260919_A,000133,1240480480584700,1789835456666250300,HOST_WAIT,,,,,host_wait,path_5_host_wait,False,EST=0.020s WAIT=0.220s
S20260919_A,000133,1240480978660100,1789835457164378200,HOST_DWELL,,,,,z_path,path_hold_5,False,0.500s
S20260919_A,000133,1240480987571900,1789835457172349500,G90,,,,,z_path,path_return_contact_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240481023503000,1789835457209230000,G1 Z13.8000 F600.0,,,13.8,600.0,z_path,path_return_contact,False,RX: [G1 Z13.8000 F600.0] | ok
S20260919_A,000133,1240481324429500,1789835457510160900,HOST_WAIT,,,,,host_wait,path_return_contact_host_wait,False,EST=0.100s WAIT=0.300s
S20260919_A,000133,1240481825384400,1789835458011114900,HOST_DWELL,,,,,z_path,path_recovery,False,0.500s
S20260919_A,000133,1240481849798600,1789835458035039400,G90,,,,,z_path,path_release_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240481862886200,1789835458048044300,G1 Z14.8000 F600.0,,,14.8,600.0,z_path,path_release,False,RX: [G1 Z14.8000 F600.0] | ok
S20260919_A,000133,1240482170297600,1789835458356030000,HOST_WAIT,,,,,host_wait,path_release_host_wait,False,EST=0.100s WAIT=0.300s
S20260919_A,000133,1240482182977800,1789835458367977600,G90,,,,,z_path,final_safe_z_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000133,1240482193388400,1789835458378991300,G1 Z16.8000 F600.0,,,16.8,600.0,z_path,final_safe_z,False,RX: [G1 Z16.8000 F600.0] | ok
S20260919_A,000133,1240482589104200,1789835458774760100,HOST_WAIT,,,,,host_wait,final_safe_z_host_wait,False,EST=0.200s WAIT=0.400s
S20260919_A,000133,1240482614316900,1789835458799673200,M114,,,,,manual,query_position,False,RX: [M114] | X:149.000000 Y:147.000000 Z:16.799999 E:0.000000 Count X: 149.000000 Y:147.000000 Z:16.799999 | ok
